1 [140536980137920] INFO perfrun.launcher <> - Launcher main begin
1 [140536980137920] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [140536980137920] INFO perfrun.launcher <> - Launcher instance created
1 [140536980137920] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.4/bin64/advixe-runss --ui-output-format xml --ui-output-fd 221 --context-value-list 
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 4716270000
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
40 [140536980137920] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
40 [140536980137920] INFO perfrun.launcher <> - Application exit code: 0
40 [140536980137920] INFO perfrun.launcher <> - Exit code: 0
